[2024-09-28 13:29:02] Client IP: 127.0.0.1, Port: 47580, File: N/A, Status: Connected
[2024-09-28 13:29:15] Client IP: 127.0.0.1, Port: 47580, File: hello, Status: Upload successful
[2024-09-28 13:29:22] Client IP: 127.0.0.1, Port: 47298, File: N/A, Status: Connected
[2024-09-28 13:29:30] Client IP: 127.0.0.1, Port: 47298, File: hello, Status: Transfer successful
[2024-09-28 13:54:08] Client IP: 127.0.0.1, Port: 44390, File: N/A, Status: Connected
[2024-09-28 13:54:55] Client IP: 127.0.0.1, Port: 44390, File: windows-11-23h2.iso, Status: Transfer failed
[2024-09-28 13:54:57] Client IP: 127.0.0.1, Port: 53490, File: N/A, Status: Connected
[2024-09-28 13:55:15] Client IP: 127.0.0.1, Port: 53490, File: windows-11-23h2.iso, Status: Resume transfer successful
[2024-09-28 13:58:31] Client IP: 127.0.0.1, Port: 35558, File: N/A, Status: Connected
[2024-09-28 13:58:38] Client IP: 127.0.0.1, Port: 35558, File: N/A, Status: Error receiving file request
[2024-09-28 13:58:40] Client IP: 127.0.0.1, Port: 35846, File: N/A, Status: Connected
[2024-09-28 14:12:09] Client IP: 127.0.0.1, Port: 33160, File: N/A, Status: Connected
[2024-09-28 14:12:18] Client IP: 127.0.0.1, Port: 33160, File: N/A, Status: Error receiving file request
[2024-09-28 14:12:55] Client IP: 127.0.0.1, Port: 45612, File: N/A, Status: Connected
[2024-09-28 14:21:47] Client IP: 127.0.0.1, Port: 39446, File: N/A, Status: Connected
[2024-09-28 14:22:08] Client IP: 127.0.0.1, Port: 39446, File: hello, Status: Transfer successful
[2024-09-28 15:37:53] Client IP: 127.0.0.1, Port: 42156, File: N/A, Status: Connected
[2024-09-28 15:37:53] Client IP: 127.0.0.1, Port: 42156, File: N/A, Status: Unknown command
[2024-09-28 15:39:06] Client IP: 127.0.0.1, Port: 51990, File: N/A, Status: Connected
[2024-09-28 15:39:06] Client IP: 127.0.0.1, Port: 51990, File: N/A, Status: Unknown command
[2024-09-28 15:47:52] Client IP: 127.0.0.1, Port: 60516, File: N/A, Status: Connected
[2024-09-28 15:47:52] Client IP: 127.0.0.1, Port: 60516, File: N/A, Status: Unknown command
